epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2012.42,0.56871,0.55418,1.10714,0.87308,0.4,0.42759,0.30099,1.76392,2.36813,1.46378,1.98016e-05,1.98016e-05,1.98016e-05
82,2044.84,0.59947,0.63146,1.08673,0.87308,0.4,0.42759,0.30099,1.76392,2.36813,1.46378,1.90949e-05,1.90949e-05,1.90949e-05
83,2068.75,0.59184,0.82566,1.08463,0.87308,0.4,0.42759,0.30099,1.76392,2.36813,1.46378,1.83646e-05,1.83646e-05,1.83646e-05
84,2092.81,0.71124,0.68707,1.02912,0.86259,0.4,0.42813,0.30303,1.76622,2.37447,1.46332,1.76107e-05,1.76107e-05,1.76107e-05
85,2114.92,0.63933,0.62168,1.09962,0.86259,0.4,0.42813,0.30303,1.76622,2.37447,1.46332,1.68333e-05,1.68333e-05,1.68333e-05
86,2137.46,0.88149,0.93915,1.37087,0.86259,0.4,0.42813,0.30303,1.76622,2.37447,1.46332,1.60323e-05,1.60323e-05,1.60323e-05
87,2161.03,0.49029,0.72816,1.03202,0.86259,0.4,0.42813,0.30303,1.76622,2.37447,1.46332,1.52077e-05,1.52077e-05,1.52077e-05
88,2184.69,0.79363,1.06204,1.20561,0.85489,0.4,0.42855,0.30321,1.7629,2.3772,1.45932,1.43596e-05,1.43596e-05,1.43596e-05
89,2208.15,0.56198,0.57919,1.06641,0.85489,0.4,0.42855,0.30321,1.7629,2.3772,1.45932,1.34879e-05,1.34879e-05,1.34879e-05
90,2231.03,0.49112,0.48152,0.97255,0.85489,0.4,0.42855,0.30321,1.7629,2.3772,1.45932,1.25927e-05,1.25927e-05,1.25927e-05
91,2254.11,0.54623,0.47322,1.00453,0.85489,0.4,0.42855,0.30321,1.7629,2.3772,1.45932,1.16739e-05,1.16739e-05,1.16739e-05
92,2277.5,0.61782,0.53602,0.93317,0.85997,0.4,0.42858,0.30381,1.75191,2.38644,1.4399,1.07315e-05,1.07315e-05,1.07315e-05
93,2300.4,0.55223,0.56532,1.07645,0.85997,0.4,0.42858,0.30381,1.75191,2.38644,1.4399,9.76562e-06,9.76562e-06,9.76562e-06
94,2323.06,0.47639,0.53015,0.93049,0.85997,0.4,0.42858,0.30381,1.75191,2.38644,1.4399,8.77613e-06,8.77613e-06,8.77613e-06
95,2345.76,0.48389,0.54482,0.95211,0.85997,0.4,0.42858,0.30381,1.75191,2.38644,1.4399,7.76308e-06,7.76308e-06,7.76308e-06
96,2368.32,0.48743,0.49752,0.92644,0.89602,0.4,0.42694,0.30643,1.73972,2.40202,1.43061,6.72648e-06,6.72648e-06,6.72648e-06
97,2390.67,0.63929,0.62422,1.01895,0.89602,0.4,0.42694,0.30643,1.73972,2.40202,1.43061,5.6663e-06,5.6663e-06,5.6663e-06
98,2414.13,0.56685,0.51963,0.94384,0.89602,0.4,0.42694,0.30643,1.73972,2.40202,1.43061,4.58257e-06,4.58257e-06,4.58257e-06
99,2439.18,0.54004,0.503,1.01048,0.89602,0.4,0.42694,0.30643,1.73972,2.40202,1.43061,3.47528e-06,3.47528e-06,3.47528e-06
100,2467.62,0.42841,0.50669,0.96968,0.95218,0.39762,0.42656,0.30684,1.71552,2.48935,1.42966,2.34442e-06,2.34442e-06,2.34442e-06
